league,season,team,player,nation,pos,age,born,matches_played,starts,minutes,nineties,goals,assists,goal_contributions,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,goals_per90,assists_per90,ga_per90,npg_per90,npga_per90
ESP-La Liga,2223,Almería,Curro,ESP,"FW,MF",26.0,1996.0,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Almería,César de la Hoz,ESP,MF,30.0,1992.0,25,18,1673,18.6,1,0,1,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05
ESP-La Liga,2223,Almería,Diego Mariño,ESP,GK,32.0,1990.0,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Almería,Dyego Sousa,POR,FW,32.0,1989.0,20,3,527,5.9,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17
ESP-La Liga,2223,Almería,El Bilal Touré,MLI,FW,20.0,2001.0,21,15,1264,14.0,7,2,9,7,0,0,0,0,0.5,0.14,0.64,0.5,0.64
ESP-La Liga,2223,Almería,Fernando,ESP,GK,32.0,1990.0,37,37,3285,36.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Almería,Fernando Pacheco,ESP,GK,30.0,1992.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Almería,Francisco Portillo,ESP,MF,32.0,1990.0,27,4,722,8.0,2,1,3,2,0,0,1,0,0.25,0.12,0.37,0.25,0.37
ESP-La Liga,2223,Almería,Gonzalo Melero,ESP,MF,28.0,1994.0,27,24,1855,20.6,4,3,7,3,1,1,5,0,0.19,0.15,0.34,0.15,0.29
ESP-La Liga,2223,Almería,Houboulang Mendes,GNB,DF,24.0,1998.0,14,11,886,9.8,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1
ESP-La Liga,2223,Almería,José Carlos Lazo,ESP,MF,26.0,1996.0,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Almería,Kaiky,BRA,DF,18.0,2004.0,13,7,581,6.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Almería,Largie Ramazani,BEL,"FW,MF",21.0,2001.0,33,13,1403,15.6,3,1,4,3,0,1,6,0,0.19,0.06,0.26,0.19,0.26
ESP-La Liga,2223,Almería,Lucas Robertone,ARG,MF,25.0,1997.0,37,34,2843,31.6,2,7,9,2,0,0,7,0,0.06,0.22,0.28,0.06,0.28
ESP-La Liga,2223,Almería,Luis Javier Suárez,COL,FW,24.0,1997.0,21,18,1490,16.6,4,4,8,4,0,0,4,1,0.24,0.24,0.48,0.24,0.48
ESP-La Liga,2223,Almería,Lázaro,BRA,"FW,MF",20.0,2002.0,19,7,716,8.0,6,0,6,6,0,0,1,0,0.75,0.0,0.75,0.75,0.75
ESP-La Liga,2223,Almería,Léo Baptistão,BRA,"FW,MF",29.0,1992.0,28,24,1726,19.2,4,1,5,4,0,0,7,0,0.21,0.05,0.26,0.21,0.26
ESP-La Liga,2223,Almería,Marko Milovanović,SRB,FW,18.0,2003.0,2,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Almería,Rodrigo Ely,BRA,DF,28.0,1993.0,36,36,3155,35.1,0,1,1,0,0,0,10,1,0.0,0.03,0.03,0.0,0.03
ESP-La Liga,2223,Almería,Samu Costa,POR,MF,21.0,2000.0,32,22,1989,22.1,1,2,3,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14
ESP-La Liga,2223,Almería,Sergio Akieme,ESP,DF,24.0,1997.0,29,27,2297,25.5,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04
ESP-La Liga,2223,Almería,Srđan Babić,SRB,DF,26.0,1996.0,34,33,2998,33.3,3,0,3,3,0,0,5,0,0.09,0.0,0.09,0.09,0.09
ESP-La Liga,2223,Almería,Umar Sadiq,NGA,FW,25.0,1997.0,3,3,240,2.7,2,0,2,2,0,0,1,0,0.75,0.0,0.75,0.75,0.75
ESP-La Liga,2223,Almería,Álex Centelles,ESP,"DF,MF",24.0,1997.0,15,11,1123,12.5,1,2,3,1,0,0,0,1,0.08,0.16,0.24,0.08,0.24
ESP-La Liga,2223,Almería,Íñigo Eguaras,ESP,MF,30.0,1992.0,25,10,967,10.7,1,1,2,1,0,0,6,0,0.09,0.09,0.19,0.09,0.19
ESP-La Liga,2223,Athletic Club,Adu Ares,ESP,MF,20.0,2001.0,8,0,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Aitor Paredes,ESP,DF,22.0,2000.0,16,9,859,9.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Ander Capa,ESP,DF,30.0,1992.0,7,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Ander Herrera,ESP,MF,32.0,1989.0,17,9,697,7.7,0,1,1,0,0,0,4,1,0.0,0.13,0.13,0.0,0.13
ESP-La Liga,2223,Athletic Club,Asier Villalibre,ESP,FW,24.0,1997.0,5,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Dani García,ESP,MF,32.0,1990.0,25,18,1485,16.5,0,2,2,0,0,0,6,0,0.0,0.12,0.12,0.0,0.12
ESP-La Liga,2223,Athletic Club,Daniel Vivian,ESP,DF,23.0,1999.0,29,26,2376,26.4,1,0,1,1,0,0,7,1,0.04,0.0,0.04,0.04,0.04
ESP-La Liga,2223,Athletic Club,Gorka Guruzeta,ESP,FW,25.0,1996.0,30,17,1421,15.8,6,1,7,6,0,0,2,0,0.38,0.06,0.44,0.38,0.44
ESP-La Liga,2223,Athletic Club,Iker Muniain,ESP,MF,29.0,1992.0,30,19,1689,18.8,0,3,3,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16
ESP-La Liga,2223,Athletic Club,Iñaki Williams,GHA,"FW,MF",28.0,1994.0,36,34,2836,31.5,10,3,13,9,1,2,2,0,0.32,0.1,0.41,0.29,0.38
ESP-La Liga,2223,Athletic Club,Iñigo Lekue,ESP,DF,29.0,1993.0,20,14,1321,14.7,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07
ESP-La Liga,2223,Athletic Club,Iñigo Martínez,ESP,DF,31.0,1991.0,15,15,1338,14.9,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07
ESP-La Liga,2223,Athletic Club,Jon Morcillo,ESP,MF,23.0,1998.0,10,0,76,0.8,0,1,1,0,0,0,0,0,0.0,1.18,1.18,0.0,1.18
ESP-La Liga,2223,Athletic Club,Julen Agirrezabala,ESP,GK,21.0,2000.0,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Mikel Balenziaga,ESP,DF,34.0,1988.0,3,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Mikel Vesga,ESP,MF,29.0,1993.0,36,28,2575,28.6,3,3,6,1,2,3,5,0,0.1,0.1,0.21,0.03,0.14
ESP-La Liga,2223,Athletic Club,Nico Williams,ESP,MF,20.0,2002.0,36,32,2656,29.5,6,4,10,6,0,0,3,0,0.2,0.14,0.34,0.2,0.34
ESP-La Liga,2223,Athletic Club,Oier Zarraga,ESP,MF,23.0,1999.0,26,6,852,9.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Oihan Sancet,ESP,MF,22.0,2000.0,36,32,2532,28.1,10,2,12,8,2,2,6,1,0.36,0.07,0.43,0.28,0.36
ESP-La Liga,2223,Athletic Club,Raúl García,ESP,"MF,FW",36.0,1986.0,35,6,967,10.7,2,3,5,2,0,0,4,0,0.19,0.28,0.47,0.19,0.47
ESP-La Liga,2223,Athletic Club,Unai Simón,ESP,GK,25.0,1997.0,31,31,2745,30.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Unai Vencedor Paris,ESP,MF,21.0,2000.0,10,0,193,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Yeray Álvarez,ESP,DF,27.0,1995.0,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.04,0.04,0.08,0.04,0.08
ESP-La Liga,2223,Athletic Club,Yuri Berchiche,ESP,DF,32.0,1990.0,29,27,2406,26.7,1,1,2,1,0,0,9,1,0.04,0.04,0.07,0.04,0.07
ESP-La Liga,2223,Athletic Club,Álex Berenguer,ESP,MF,27.0,1995.0,37,26,2297,25.5,4,1,5,4,0,0,2,0,0.16,0.04,0.2,0.16,0.2
ESP-La Liga,2223,Athletic Club,Óscar de Marcos,ESP,DF,33.0,1989.0,37,32,2819,31.3,1,6,7,1,0,0,7,0,0.03,0.19,0.22,0.03,0.22
ESP-La Liga,2223,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",31.0,1991.0,38,31,2859,31.8,15,16,31,15,0,0,2,0,0.47,0.5,0.98,0.47,0.98
ESP-La Liga,2223,Atlético Madrid,Antonio Gomis,ESP,GK,19.0,2003.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Axel Witsel,BEL,"DF,MF",33.0,1989.0,33,25,2258,25.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Carlos Martín,ESP,"FW,MF",20.0,2002.0,4,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Felipe,BRA,DF,33.0,1989.0,3,2,194,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,29.0,1993.0,20,10,1006,11.2,0,2,2,0,0,0,5,0,0.0,0.18,0.18,0.0,0.18
ESP-La Liga,2223,Atlético Madrid,Ivo Grbić,CRO,GK,26.0,1996.0,12,10,922,10.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Jan Oblak,SVN,GK,29.0,1993.0,28,28,2492,27.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,José María Giménez,URU,DF,27.0,1995.0,28,26,2423,26.9,2,1,3,2,0,0,9,0,0.07,0.04,0.11,0.07,0.11
ESP-La Liga,2223,Atlético Madrid,João Félix,POR,"FW,MF",22.0,1999.0,14,7,650,7.2,4,3,7,4,0,0,5,0,0.55,0.42,0.97,0.55,0.97
ESP-La Liga,2223,Atlético Madrid,Koke,ESP,MF,30.0,1992.0,33,30,2545,28.3,0,3,3,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11
ESP-La Liga,2223,Atlético Madrid,Marcos Llorente,ESP,MF,27.0,1995.0,22,21,1703,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16
ESP-La Liga,2223,Atlético Madrid,Mario Hermoso,ESP,DF,27.0,1995.0,26,24,2110,23.4,3,2,5,3,0,0,7,2,0.13,0.09,0.21,0.13,0.21
ESP-La Liga,2223,Atlético Madrid,Matheus Cunha,BRA,"MF,FW",23.0,1999.0,11,2,377,4.2,0,2,2,0,0,0,2,0,0.0,0.48,0.48,0.0,0.48
ESP-La Liga,2223,Atlético Madrid,Matt Doherty,IRL,"DF,MF",30.0,1992.0,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Memphis,NED,FW,28.0,1994.0,8,3,270,3.0,4,0,4,4,0,0,1,0,1.33,0.0,1.33,1.33,1.33
ESP-La Liga,2223,Atlético Madrid,Nahuel Molina,ARG,DF,24.0,1998.0,33,33,2867,31.9,4,2,6,4,0,0,7,1,0.13,0.06,0.19,0.13,0.19
ESP-La Liga,2223,Atlético Madrid,Pablo Barrios,ESP,MF,19.0,2003.0,21,6,724,8.0,0,1,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12
ESP-La Liga,2223,Atlético Madrid,Reinildo Mandava,MOZ,DF,28.0,1994.0,22,22,1857,20.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Rodrigo De Paul,ARG,MF,28.0,1994.0,30,24,1923,21.4,2,7,9,2,0,0,5,0,0.09,0.33,0.42,0.09,0.42
ESP-La Liga,2223,Atlético Madrid,Saúl Ñíguez,ESP,"MF,DF",27.0,1994.0,31,11,1100,12.2,3,1,4,3,0,0,8,0,0.25,0.08,0.33,0.25,0.33
ESP-La Liga,2223,Atlético Madrid,Sergio Reguilón,ESP,DF,25.0,1996.0,11,2,309,3.4,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Stefan Savić,MNE,DF,31.0,1991.0,22,22,1943,21.6,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Thomas Lemar,FRA,MF,26.0,1995.0,27,17,1252,13.9,1,3,4,1,0,0,1,0,0.07,0.22,0.29,0.07,0.29
ESP-La Liga,2223,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",28.0,1993.0,35,26,2317,25.7,7,3,10,6,1,1,2,0,0.27,0.12,0.39,0.23,0.35
ESP-La Liga,2223,Atlético Madrid,Álvaro Morata,ESP,FW,29.0,1992.0,36,23,1900,21.1,13,2,15,13,0,0,4,0,0.62,0.09,0.71,0.62,0.71
ESP-La Liga,2223,Atlético Madrid,Ángel Correa,ARG,"FW,MF",27.0,1995.0,35,13,1455,16.2,9,1,10,9,0,0,3,1,0.56,0.06,0.62,0.56,0.62
ESP-La Liga,2223,Barcelona,Aleix Garrido,ESP,MF,18.0,2004.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Alejandro Balde,ESP,DF,18.0,2003.0,33,30,2471,27.5,1,6,7,1,0,0,4,0,0.04,0.22,0.25,0.04,0.25
ESP-La Liga,2223,Barcelona,Andreas Christensen,DEN,DF,26.0,1996.0,23,22,1760,19.6,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1
ESP-La Liga,2223,Barcelona,Ansu Fati,ESP,FW,19.0,2002.0,36,12,1393,15.5,7,3,10,7,0,0,3,0,0.45,0.19,0.65,0.45,0.65
ESP-La Liga,2223,Barcelona,Chadi Riad,MAR,DF,19.0,2003.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Eric García,ESP,"DF,MF",21.0,2001.0,24,15,1417,15.7,1,0,1,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06
ESP-La Liga,2223,Barcelona,Ferrán Torres,ESP,FW,22.0,2000.0,33,14,1392,15.5,4,2,6,4,0,1,5,1,0.26,0.13,0.39,0.26,0.39
ESP-La Liga,2223,Barcelona,Franck Kessié,CIV,MF,25.0,1996.0,28,7,990,11.0,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18
ESP-La Liga,2223,Barcelona,Frenkie de Jong,NED,MF,25.0,1997.0,33,29,2534,28.2,2,4,6,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21
ESP-La Liga,2223,Barcelona,Gavi,ESP,"MF,FW",17.0,2004.0,36,30,2531,28.1,2,4,6,2,0,0,10,0,0.07,0.14,0.21,0.07,0.21
ESP-La Liga,2223,Barcelona,Gerard Piqué,ESP,DF,35.0,1987.0,6,4,384,4.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Héctor Bellerín,ESP,DF,27.0,1995.0,3,1,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Iñaki Peña,ESP,GK,23.0,1999.0,2,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Jordi Alba,ESP,DF,33.0,1989.0,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.13,0.19,0.32,0.13,0.32
ESP-La Liga,2223,Barcelona,Jules Koundé,FRA,DF,23.0,1998.0,29,28,2426,27.0,1,3,4,1,0,0,2,0,0.04,0.11,0.15,0.04,0.15
ESP-La Liga,2223,Barcelona,Lamine Yamal,ESP,"FW,MF",15.0,2007.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,GER,GK,30.0,1992.0,38,38,3347,37.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Marcos Alonso,ESP,DF,31.0,1990.0,24,11,1172,13.0,1,0,1,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08
ESP-La Liga,2223,Barcelona,Memphis,NED,FW,28.0,1994.0,2,2,114,1.3,1,0,1,1,0,0,0,0,0.79,0.0,0.79,0.79,0.79
ESP-La Liga,2223,Barcelona,Ousmane Dembélé,FRA,FW,25.0,1997.0,25,16,1410,15.7,5,7,12,5,0,0,4,0,0.32,0.45,0.77,0.32,0.77
ESP-La Liga,2223,Barcelona,Pablo Torre,ESP,FW,19.0,2003.0,8,1,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Pedri,ESP,MF,19.0,2002.0,26,22,1976,22.0,6,1,7,6,0,0,2,0,0.27,0.05,0.32,0.27,0.32
ESP-La Liga,2223,Barcelona,Pierre-Emerick Aubameyang,GAB,"FW,MF",33.0,1989.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Barcelona,Raphinha,BRA,FW,25.0,1996.0,36,25,2072,23.0,7,7,14,7,0,0,9,0,0.3,0.3,0.61,0.3,0.61
ESP-La Liga,2223,Barcelona,Robert Lewandowski,POL,FW,33.0,1988.0,34,33,2847,31.6,23,7,30,23,0,1,4,1,0.73,0.22,0.95,0.73,0.95
ESP-La Liga,2223,Barcelona,Ronald Araújo,URU,DF,23.0,1999.0,22,21,1800,20.0,0,2,2,0,0,0,5,1,0.0,0.1,0.1,0.0,0.1
ESP-La Liga,2223,Barcelona,Sergi Roberto,ESP,"DF,MF",30.0,1992.0,23,15,1308,14.5,4,1,5,4,0,0,3,0,0.28,0.07,0.34,0.28,0.34
ESP-La Liga,2223,Barcelona,Sergio Busquets,ESP,MF,34.0,1988.0,30,28,2339,26.0,0,4,4,0,0,0,8,1,0.0,0.15,0.15,0.0,0.15
ESP-La Liga,2223,Barcelona,Ángel Alarcón,ESP,FW,18.0,2004.0,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Agustín Marchesín,ARG,GK,34.0,1988.0,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Augusto Solari,ARG,MF,30.0,1992.0,12,3,262,2.9,0,1,1,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34
ESP-La Liga,2223,Celta Vigo,Carles Pérez,ESP,"MF,FW",24.0,1998.0,35,23,2144,23.8,3,5,8,3,0,0,5,0,0.13,0.21,0.34,0.13,0.34
ESP-La Liga,2223,Celta Vigo,Carlos Dominguez,ESP,DF,21.0,2001.0,3,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Fernando Medrano,ESP,DF,22.0,2000.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Fran Beltrán,ESP,MF,23.0,1999.0,36,33,2855,31.7,0,2,2,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06
ESP-La Liga,2223,Celta Vigo,Franco Cervi,ARG,MF,28.0,1994.0,36,21,1894,21.0,0,4,4,0,0,0,2,1,0.0,0.19,0.19,0.0,0.19
ESP-La Liga,2223,Celta Vigo,Gabriel Veiga,ESP,MF,20.0,2002.0,36,28,2294,25.5,11,4,15,11,0,0,6,1,0.43,0.16,0.59,0.43,0.59
ESP-La Liga,2223,Celta Vigo,Gonçalo Paciência,POR,FW,27.0,1994.0,25,5,662,7.4,2,0,2,2,0,0,2,1,0.27,0.0,0.27,0.27,0.27
ESP-La Liga,2223,Celta Vigo,Haris Seferović,SUI,FW,30.0,1992.0,18,10,887,9.9,3,1,4,3,0,0,3,0,0.3,0.1,0.41,0.3,0.41
ESP-La Liga,2223,Celta Vigo,Hugo Mallo,ESP,DF,31.0,1991.0,26,26,2163,24.0,0,1,1,0,0,0,6,1,0.0,0.04,0.04,0.0,0.04
ESP-La Liga,2223,Celta Vigo,Hugo Sotelo,ESP,MF,18.0,2003.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Iago Aspas,ESP,FW,34.0,1987.0,37,31,2868,31.9,12,3,15,10,2,3,6,0,0.38,0.09,0.47,0.31,0.41
ESP-La Liga,2223,Celta Vigo,Iván Villar,ESP,GK,25.0,1997.0,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Javi Galán,ESP,DF,27.0,1994.0,37,36,3160,35.1,0,3,3,0,0,0,6,0,0.0,0.09,0.09,0.0,0.09
ESP-La Liga,2223,Celta Vigo,Joseph Aidoo,GHA,DF,26.0,1995.0,35,35,3119,34.7,3,0,3,3,0,0,6,1,0.09,0.0,0.09,0.09,0.09
ESP-La Liga,2223,Celta Vigo,Jørgen Strand Larsen,NOR,FW,22.0,2000.0,32,20,1705,18.9,4,4,8,4,0,0,4,0,0.21,0.21,0.42,0.21,0.42
ESP-La Liga,2223,Celta Vigo,Kevin Vázquez,ESP,"DF,MF",29.0,1993.0,10,6,441,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Luca de la Torre,USA,MF,24.0,1998.0,28,16,1481,16.5,0,2,2,0,0,0,6,0,0.0,0.12,0.12,0.0,0.12
ESP-La Liga,2223,Celta Vigo,Miguel Rodríguez,ESP,"FW,MF",19.0,2003.0,7,3,252,2.8,1,1,2,1,0,0,0,0,0.36,0.36,0.71,0.36,0.71
ESP-La Liga,2223,Celta Vigo,Pablo Durán,ESP,FW,21.0,2001.0,4,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Renato Tapia,PER,"MF,DF",27.0,1995.0,28,16,1451,16.1,0,0,0,0,0,0,8,1,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Unai Núñez,ESP,DF,25.0,1997.0,36,35,3151,35.0,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Williot Swedberg,SWE,"FW,MF",18.0,2004.0,4,0,55,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Óscar Mingueza,ESP,DF,23.0,1999.0,21,13,1284,14.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Celta Vigo,Óscar Rodríguez Arnaiz,ESP,MF,24.0,1998.0,33,19,1775,19.7,2,0,2,2,0,0,6,0,0.1,0.0,0.1,0.1,0.1
ESP-La Liga,2223,Cádiz,Alberto Perea,ESP,MF,31.0,1990.0,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Alfonso Espino,URU,DF,30.0,1992.0,36,35,3122,34.7,0,4,4,0,0,0,7,0,0.0,0.12,0.12,0.0,0.12
ESP-La Liga,2223,Cádiz,Anthony Lozano,HON,FW,29.0,1993.0,28,14,1443,16.0,1,1,2,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12
ESP-La Liga,2223,Cádiz,Antonio Blanco,ESP,MF,22.0,2000.0,3,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Awer Mabil,AUS,MF,26.0,1995.0,5,1,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Brian Ocampo,URU,MF,23.0,1999.0,18,15,1119,12.4,1,1,2,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16
ESP-La Liga,2223,Cádiz,Cala,ESP,DF,32.0,1989.0,3,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Carlos García,ESP,DF,22.0,2000.0,1,0,25,0.3,0,1,1,0,0,0,0,0,0.0,3.6,3.6,0.0,3.6
ESP-La Liga,2223,Cádiz,Chris Ramos,ESP,FW,25.0,1997.0,15,7,710,7.9,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13
ESP-La Liga,2223,Cádiz,David Gil,ESP,GK,28.0,1994.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Fali,ESP,"DF,MF",28.0,1993.0,25,22,1714,19.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Fede San Emeterio,ESP,MF,25.0,1997.0,33,24,1844,20.5,0,1,1,0,0,0,14,0,0.0,0.05,0.05,0.0,0.05
ESP-La Liga,2223,Cádiz,Francisco Mwepu,ZAM,FW,22.0,2000.0,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Gonzalo Escalante,ARG,MF,29.0,1993.0,14,13,1121,12.5,4,1,5,4,0,0,4,0,0.32,0.08,0.4,0.32,0.4
ESP-La Liga,2223,Cádiz,Isaac Carcelen,ESP,DF,29.0,1993.0,27,25,2199,24.4,0,1,1,0,0,0,4,3,0.0,0.04,0.04,0.0,0.04
ESP-La Liga,2223,Cádiz,Iván Alejo,ESP,MF,27.0,1995.0,31,13,1311,14.6,0,1,1,0,0,0,13,1,0.0,0.07,0.07,0.0,0.07
ESP-La Liga,2223,Cádiz,Jeremías Ledesma,ARG,GK,29.0,1993.0,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Jorge Meré,ESP,DF,25.0,1997.0,10,6,601,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Cádiz,Joseba Zaldúa,ESP,DF,30.0,1992.0,10,7,639,7.1,0,1,1,0,0,0,4,0,0.0,0.14,0.14,0.0,0.14
ESP-La Liga,2223,Cádiz,José Antonio,ESP,MF,18.0,2004.0,2,0,46,0.5,0,1,1,0,0,0,0,0,0.0,1.96,1.96,0.0,1.96
