#,Age,club,season,position,player_name,market_value_eur
18,24.0,Arsenal,2223,Right-Back,Takehiro Tomiyasu,25000000.0
-,25.0,Arsenal,2223,Right-Back,Ainsley Maitland-Niles,8000000.0
-,31.0,Arsenal,2223,Right-Back,Cédric Soares,3000000.0
-,18.0,Arsenal,2223,Right-Back,Reuell Walters,
5,30.0,Arsenal,2223,Defensive Midfield,Thomas Partey,35000000.0
20,31.0,Arsenal,2223,Defensive Midfield,Jorginho,25000000.0
34,30.0,Arsenal,2223,Defensive Midfield,Granit Xhaka,20000000.0
25,30.0,Arsenal,2223,Defensive Midfield,Mohamed Elneny,6000000.0
-,18.0,Arsenal,2223,Defensive Midfield,Bradley Ibrahim,400000.0
-,23.0,Arsenal,2223,Central Midfield,Albert Sambi Lokonga,15000000.0
-,22.0,Arsenal,2223,Central Midfield,Matt Smith,350000.0
-,20.0,Arsenal,2223,Central Midfield,Cătălin Cîrjan,250000.0
-,19.0,Arsenal,2223,Central Midfield,Mauro Bandeira,
8,24.0,Arsenal,2223,Attacking Midfield,Martin Ødegaard,90000000.0
10,22.0,Arsenal,2223,Attacking Midfield,Emile Smith Rowe,35000000.0
21,23.0,Arsenal,2223,Attacking Midfield,Fábio Vieira,25000000.0
-,16.0,Arsenal,2223,Attacking Midfield,Ethan Nwaneri,
11,22.0,Arsenal,2223,Left Winger,Gabriel Martinelli,80000000.0
19,28.0,Arsenal,2223,Left Winger,Leandro Trossard,35000000.0
24,23.0,Arsenal,2223,Left Winger,Reiss Nelson,12000000.0
-,18.0,Arsenal,2223,Left Winger,Charles Sagoe Jr,
7,21.0,Arsenal,2223,Right Winger,Bukayo Saka,120000000.0
-,28.0,Arsenal,2223,Right Winger,Nicolas Pépé,18000000.0
-,20.0,Arsenal,2223,Right Winger,Marquinhos,12000000.0
-,18.0,Arsenal,2223,Right Winger,Amario Cozier-Duberry,300000.0
9,26.0,Arsenal,2223,Centre-Forward,Gabriel Jesus,75000000.0
14,24.0,Arsenal,2223,Centre-Forward,Eddie Nketiah,25000000.0
-,19.0,Arsenal,2223,Centre-Forward,Khayon Edwards,300000.0
-,20.0,Arsenal,2223,Centre-Forward,Nathan Butler-Oyedeji,100000.0
22,28.0,Arsenal,2324,Goalkeeper,David Raya,35000000.0
1,26.0,Arsenal,2324,Goalkeeper,Aaron Ramsdale,25000000.0
